物件の管理番号,備考欄（技術）,積載量/kg,点検月
"HK7-568","駐車場：現地借用
階段開放：無
通知：TEL（011876-6200）
警備：無
監視：無
蛍光灯：無

小荷物操作盤暗証：0000","200","4.8.12"
"HK7-571","","200","4.8.12"
"HK2-689","CV200SW  駐車場：敷地内 、警備：セコム 、外部解放：不要　救出訓練の連絡は、現地シフト予定を組む為2か月前に連絡をすること又は客先にて予定日を決めてもらう※LED：売切(2019.11.15～)【救出訓練実施物件】担当：すずき様　TEL：0126-23-0322【Maximo関連】現地報告書後日郵送(持参も可)

※最新救出訓練実施日：2023.12.12　救出訓練実施　田尾・渡辺様　2名","600","4.8.12"
"HK8-294","<div>VFGSA(UCMP)　</div><div>
駐車場：敷地内</div><div> 
警備：なし </div><div>
外部開放：不要</div><div>
蛍光灯：LED
</div><div>点検通知:現地TEL 0118870178</div><!-- RICH TEXT -->","200","5.11"
"HK2-257","","200","5.11"
"HK8-295","","200","5.11"
"HK9-649","","200","5.11"
"HK1-759","駐車場　開いているスペースに停めてよい。
入口PHSにて＃１で挨拶入館、担当者（小川様）

入口は出るのも入るのもカードキーがないとできないので、その都度入口付近にあるPHSにて＃１に連絡必要。

ルームレス側が新館、油圧側は旧館
警備なし","600","5.11"
"HK1-758","駐車場　開いているスペースに停めてよい。
入口PHSにて＃１で挨拶入館、担当者（小川様）に機械室開錠してもらうよう伝える。

入口は出るのも入るのもカードキーがないとできないので、その都度入口付近にあるPHSにて＃１に連絡必要。

ルームレス側が新館、油圧側は旧館

油圧機械室は内部階段の一番下にある。","600","5.11"
"HK9-125","駐車場：建物正面来客用（複数台の場合現地確認）
階段開放：無
通知：TEL 070-4795-0718担当ヒノさま
警備：無（職員不在時は全日警011-716-0815）
監視：キズナ
蛍光灯：LED","600","5.11"
"HK3-104","","300","5.9"
"HK8-796","","750","6.10.2"
"HK3-122","<div>VFFS　
駐車：家の前　</div><div>
点検通知：TEL011-861-3622</div><div>
FL20×2本
検査対象外 ※COP裏にES・INS  sw有り</div><!-- RICH TEXT -->","200","6.12"
"HK2-722","駐車場：現地
階段開放：なし
通知：TEL
警備：なし
監視：なし
蛍光灯：LED
入館：フリー

点検日事前にTEL(11時~13時以外であればいつでも可能)
停電時バッテリー運転、UCMP付き","200","6.12"
"HK-R1490","①駐車場：有
②入館：無
③keybox：無
③遠隔：無
④警備：無
⑤防カメ：無
⑥リフトスポット：無
⑧管理人：1F受付
⑨階段開放：無
⑩蛍光灯：
⑪点検通知：TEL　011-802-8191
⑫点検条件：無

・分電盤位置　玄関右側部屋奥電灯盤L1  200→B番100V→28番","200","9"
"HK3-159","駐車場:敷地内 
挨拶:フロント
鍵借用無し
上靴必要
DW位置:キッチン内奥側　奥側の裏口から入る　上靴のまま入れる　一声かけてから
2階は裏口横の階段使って上がると近い

機械室は鍵かかってない　天井裏通らないで入れるタイプ　3尺脚立伸ばせば大丈夫な高さ","100","偶数月"
"HK3-384","<div>地下階ハッチ 養生されているためピットに入れず、今期検査の際客先へ改善要望したが改善されず
ピットに入る際はい階床上からはしごを昇降路内へ立てて入ることになっています。
検査の際にしか入らない事！
水曜以外</div><div>
入館：フリー
鍵：機械室あいてる</div><div>
点検通知：現地TEL　011-846-4557
</div><div>蛍光灯：FCL30×1本</div><!-- RICH TEXT -->","1000","偶数月"
"HK3-339","駐車場：現地借用
階段開放：無
通知：現地TEL
警備：無
監視：キズナ
蛍光灯：LED","1000","偶数月"
"HK3-340","駐車場：現地借用
階段開放：無
通知：現地TEL
警備：無
監視：キズナ
蛍光灯：LED","1000","偶数月"
"HK2-121","駐車場：現地駐車場　　　警備発報：無　　　外部解放：無　　　　機械室：エレベーター横扉内　階段横
1F事務所にて挨拶、鍵借用    1階ホール前に柵使用、各階ドアにラミネート貼ってある（A3サイズ）為点検後取り外す。(全部の階)    
インターホン使用時声かけしてから。
小荷物は売店横ドアの中(1階は)
※最新救出訓練実施日：2023.12.22　救出訓練実施　ミツナガ様1名","1000","偶数月"
"HK2-124","","1000","偶数月"
"HK938","<div><font size=""4"">駐車場：現地借用
</font></div><div><font size=""4"">階段開放：無</font></div><div><font size=""4"">
点検通知：現地TEL 867-4444</font><span style=""font-size: large;"">友引前日PM</span></div><div><span style=""font-size: large;"">                                 
警備：無 </span></div><div><span style=""font-size: large;"">
監視：無 </span></div><div><span style=""font-size: large;"">                                                                                                                                
蛍光灯：LED</span></div><!-- RICH TEXT -->","1300","偶数月"
"HK053","HVJ-G1      駐車場：現地駐車場　　警備発報：無　　外部階段：無
挨拶は2M階  1・2階中間階  正面玄関の横
EVは裏入って左側奥、機械室は1階EV横左扉  DWは厨房内・2Fプライベートルーム
DW用の長い脚立はEV横右扉の中に入ってる  客先に断ってから

■故障・緊急時TEL06-6850-2150：緊急センター案内無し■

※LED：売切り(2022.4.18～)

【救出訓練実施物件】
担当：山本様　TEL：0126-22-4444

救出訓練実施　2025.2.17　山本・戸田・岩原","1300","偶数月"
"HK939","<div><font size=""4"">駐車場：現地借用</font></div><div><font size=""4"">
階段開放：無</font></div><div><font size=""4"">
点検通知：現地TEL 867-4444        友引前日PM </font></div><div><font size=""4"">                                
警備：無 </font></div><div><font size=""4"">
監視：無
</font></div><div><font size=""4"">


※現地脚立借用可能</font></div><!-- RICH TEXT -->","200","偶数月"
"HK3-389","","200","偶数月"
"HK9-651","入館　
東口側青空駐車場へ駐車　東口からトライアル内を通り奥のドアから守衛室へ挨拶・鍵の借用
作業する号機へ

①②号機は2カー　機械室は階段横ドアから入る。
③号機は　2階ＵＳランドに声をかけ入れてもらって一番奥左側のドア（機械室）その右隣は
（ＥＶ）
④　2階タムタムの裏方通路　入り口ドアは施錠なし機械室行く場合はサバゲーフィールドのネット隙間からＥＶ横くらいまで侵入（撃たれないように注意）

ＥＳ①②　現地備品は2階④号機ＥＶホール前に置いてある。

①駐車場　　　　　有　好きなところへ
②入館　　　　　　まずはトライアル内奥の警備室へ
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　セコム　600024　TEL要
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　
⑩点検連絡　　　　メール（入館書類ある）","2000","偶数月"
"HK9-652","入館　
東口側青空駐車場へ駐車　東口からトライアル内を通り奥のドアから守衛室へ挨拶・鍵の借用
作業する号機へ

①②号機は2カー　機械室は階段横ドアから入る。
③号機は　2階ＵＳランドに声をかけ入れてもらって一番奥左側のドア（機械室）その右隣は
（ＥＶ）
④　2階タムタムの裏方通路　入り口ドアは施錠なし機械室行く場合はサバゲーフィールドのネット隙間からＥＶ横くらいまで侵入（撃たれないように注意）

ＥＳ①②　現地備品は2階④号機ＥＶホール前に置いてある。

①駐車場　　　　　有　好きなところへ
②入館　　　　　　まずはトライアル内奥の警備室へ
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　セコム　600024　TEL要
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　
⑩点検連絡　　　　メール（入館書類ある）","2000","偶数月"
"HK3-086","<div><font size=""4"">駐車場：借用　</font></div><div><font size=""4"">
階段開放：無
</font></div><div><font size=""4"">通知：貼紙</font></div><div><font size=""4"">
警備：無　
</font></div><div><font size=""4"">監視：キズナ</font></div><div><font size=""4"">
蛍光灯：LED
</font></div><div><font size=""4"">
昇降路結露発生する為、客先にて機械室に除湿器設置</font></div><div><font size=""4"">　点検時異状ないか確認を
お願いされてます。</font></div><!-- RICH TEXT -->","300","偶数月"
"HK3-085","<div>VF-K(L86)　SICON-4000D</div><div>
駐車：借用(掲示必ず)　</div><div>
警備：無　
</div><div>階段：内部
</div><div>暗証：3196</div><div>
鍵：地下入口扉
</div><div>点検通知：貼紙　全体FAX</div><div>
蛍光灯：LED
キズナ　偶数月　POG

※LED：売切(H31.2.28)</div><!-- RICH TEXT -->","300","偶数月"
"HK054","機種RE200P955G4積載300kg製番S27032製年2000/3出力2.2kw停止階1-2(2st)速度30m/min
駐車場：現地駐車場　　警備発報：無　　外部階段：無
・挨拶は2M階  1・2階中間階  正面玄関の横
・EVは裏入って左側奥、機械室は1階EV横左扉  DWはプライベートルーム  客先に聞くと教えてくれる。
  DW用の長い脚立はEV横右扉の中に入ってる  客先に断ってから

■故障・緊急時TEL06-6850-2150：緊急センター案内無し■","300","偶数月"
"HK2-122","点検時間指定13：30～      厨房にて挨拶してから作業してください。           
 厨房入口は職員出入口、夜間出入口のほう　扉に名称記載なしノックして入室
厨房内は靴や帽子のルールを守る事　わからないときは聞けば教えてくれます。              
3Fレベル毎回チェック    1階ドアは正背面　機械室は3階天井裏　カゴ上シーブあり　カウンターシーブあり　カゴドア手動
駐車場：現地駐車場　　　警備発報：無　　　外部解放：無","300","偶数月"
